gene	Adipo	Bcell	CLC	Endo	Fib	LEC	Myeloid	Neural-like	Plasma	PSC	Tcell	tumor_Stromal_SC_1	tumor_Stromal_SC_2	tumor_Stromal_SC_3	tumor_Stromal_SC_4	tumor_Stromal_SC_5	tumor_Stromal_SC_6	ZF	ZG	ZR
S100A9	0.20124893186528253	0.02969215843108125	-0.002593767630419379	-0.3680794503612083	-0.6390483350870982	-0.6154408851359365	0.9480357163750017	3.8339730717070717	-0.004666016767684833	-0.6037175979403251	-0.0828816421677427	-0.024870868381328078	0.4923292601262911	-0.2681982294797976	-0.5139342888328178	-0.6033709242564373	0.04089834146006201	-0.6667540662361108	-0.6565194173251927	-0.49610199036269126
SLC4A1	0.14319639824615057	0.20684626867652303	0.8227481016735322	-0.6566230880845352	-0.996189343039492	-0.742958576859822	1.7713979664610517	2.88726814957775	0.5726668100927037	-0.9518508228830099	0.1373819925430741	0.31738297323905335	0.05424025071155715	0.42546999726145446	-0.701259440208338	-0.31028150217109024	-0.15432541815166892	-0.9513594962339361	-0.9452454307700343	-0.9285057900809217
CCR3	-0.5188738082023922	0.20095388479225407	1.7053945538031625	-0.5367110047105256	-0.7767096754397492	-0.6829007434033039	1.9144937305782581	2.6928501155114266	-0.4732897817370305	-0.5733929943857274	0.12718237218386402	-0.6633461042095392	-0.4111224902982332	-0.3575906616442124	-0.1109844292497494	0.03680900133906905	0.6916768941263591	-0.7414386993403712	-0.7697003734759948	-0.7532997862375637
IL5RA	-0.5194475342655439	0.15337896343884638	2.3028999500152776	-0.44136564264577893	-0.5882695013184588	-0.8007436823376911	-0.24835369656220604	2.4868845959797508	1.6254885717739733	-0.6710291875266053	-0.16280628600787747	-0.6988264072521458	-0.18018273289366707	-0.4781187853220812	-0.2014980591625529	-0.28440761070663056	0.7600886604486574	-0.6592413924108703	-0.7127427252116527	-0.681707498032744
CPA3	-0.20010410066622103	0.12489188716733948	2.128065352471226	-0.5542521498199989	-0.7224911678229843	-0.40836170878218275	0.3604456471342237	2.410793978672796	-0.537811488461012	-0.5547092424280309	-0.15908443868498293	-0.7667755939009965	-0.7457351022732018	-0.6155740155240146	-0.46932902885759614	0.945072749731219	1.7162032229302449	-0.6548036082330985	-0.599643245559915	-0.6967979470928142
FAP	-0.7056384412977852	-0.2698497376801776	1.9496240614661466	0.2415158706239291	-0.22168592529450076	-0.6800383673687752	-0.3886365185365704	2.2215368887738105	-0.57116331395934	-0.656273563345054	-0.378900348385495	-0.93614454563304	-0.26942718810286803	0.796226467998939	-0.16811734900706995	0.0925714940119417	2.181660262214412	-0.8007760608894039	-0.620393303768614	-0.8160903818204841
MZB1	-0.22309023772397205	0.27881532989433755	-0.24985521232488284	-0.27719227612637015	-0.2935261211435815	-0.29718891494691885	-0.250539300488051	-0.14667837439239267	4.215898151808346	-0.28555943082169394	-0.21821895904656602	-0.20693910174303465	-0.2394325988956975	-0.22990012584528355	-0.2230385529225883	-0.24800660910353287	-0.24105202092708497	-0.28898666924827937	-0.28448676009100704	-0.2910222159117455
SDC1	-0.36480940087435415	-0.34357688396073605	0.018694123042312473	-0.28559157530296936	-0.31260148059701376	-0.21786852646417093	-0.3116959809302762	-0.16980253554768546	4.201539442635911	-0.29479467640964924	-0.348763211804657	-0.31831092104859304	-0.33485013550597514	-0.22504531276025644	-0.08524143053208454	-0.17160265862720417	-0.37120495334062276	-0.08468761048136618	-0.20005396208206264	0.2202676905914538
IGHG1	0.1939156032905762	0.3992540907531715	-0.5436886927938414	-0.46387933545549137	-0.5480072102688143	-0.554028518073963	-0.25602798798683307	0.27499061285871024	3.984616506769398	-0.5503503166462876	-0.2297310066663524	-0.2960416399844158	0.17899492646247608	0.4663993044677658	-0.06584135551569054	-0.1748550111838418	-0.16078406072218338	-0.5511971111603496	-0.5471602417198969	-0.5565785564241356
CD38	-0.4537728669220437	-0.11778318939532503	-0.13890475381302675	0.0406619614597975	-0.42106515306882347	-0.2324459421022297	0.6659717432984179	0.018064881990463844	3.9246055158424813	0.9054116593411687	-0.26804887035373975	-0.5223674030338442	-0.4213814959752559	-0.41493762763849523	-0.4536895351720967	-0.4119392117099611	-0.1945477000294114	-0.4953940242391141	-0.5105326993112302	-0.4979052891677321
