gene	Adipo	Bcell	CLC	Endo	Eryth	Fib	LEC	Myeloid	Plasma	PSC	Tcell	unknown_5	ZF	ZG	ZR
VSNL1	-0.5187644297088208	-0.4364478273952904	-0.08038077731445359	-0.12640237762392986	-0.5125435700920451	-0.18230711932098112	-0.0446839590656281	-0.29457623491249774	-0.4952218201647541	-0.09674881290095262	-0.4880886618248234	-0.5007793845766575	0.4547280744433635	3.486525363199001	-0.16430846274153002
CYP11B2	-0.5616759776520455	-0.5600625890476619	-0.4613498069108079	-0.09438369121549867	-0.5651794827073082	-0.24697568242834048	0.1320421076328574	-0.36517856350905564	-0.52675276595586	-0.05541637646703692	-0.5444499632130796	-0.5312085458392533	0.8889916242672558	3.3066961713414837	0.18490354170435103
DACH1	-0.6873684321400856	-0.6101025951475498	-0.143923241018484	-0.0050875334974137855	-0.7049489326221653	-0.11882638704601134	-0.045378577801086104	-0.3489348540596795	-0.6691156899293765	1.1968249293558193	-0.6055533765704136	-0.6643388354982505	0.44644896371644105	3.0973268693992813	-0.1370223071410251
NCAM1	-0.733958335774917	-0.6811421148778295	-0.04686348325684099	-0.2070918495567934	-0.6717629067681312	-0.30670726959575223	0.21273323481818904	-0.3755136972992272	-0.6612413136250829	-0.04002487020133623	-0.5781186133217442	-0.6457011727458257	1.7658921429738565	2.80825541662237	0.16124483260906386
CHGB	-0.7943349274925775	-0.6946101452961587	0.6385188676410813	0.13974268375307955	-0.8934449958611	-0.4365568226464514	-0.1748957171069162	-0.2577996883309547	-0.8934449958611	-0.0776518579548704	-0.7108862063628636	-0.8009249497187308	1.3523257827975645	2.5433538874112718	1.060609085028726
SULT2A1	-0.8611685091268975	-0.8310535949440138	-0.26895267099594894	0.08611701918043702	-0.8462537462893645	-0.17470897805639699	0.49741272159221883	-0.32121277619291183	-0.7451653517062697	0.2750578444118236	-0.7543391849902993	-0.8211312023880422	1.3821288658489905	0.7213326641923208	2.6619368994643544
CYP11A1	-0.7465523730529502	-0.758264988939372	-0.467310964378269	0.02139151418904711	-0.7557421392553154	-0.32183538727582595	0.12336826216356776	-0.23845170071725832	-0.7297767511488625	0.1804448924757092	-0.6765213349299235	-0.7043393837997908	1.9014711964250648	0.6542921055837337	2.517827052660446
ABCB1	-0.7996746977022914	-0.6655143219223164	-0.21708666204232183	-0.17176739181747314	-0.8183847191414558	-0.5089681829754934	0.15735378983997397	-0.46012975454018956	-0.7580849557733333	-0.1437538867907744	-0.44338979113925875	-0.5670420798568216	2.0745400195158075	1.052274642950674	2.269627991395274
CYP11B1	-0.8554122560343163	-0.8609697300434599	-0.6290310811772678	0.13679620232791426	-0.8149118769996547	-0.31232474892910306	0.4821444441822355	-0.22259729089084737	-0.7691992993183486	0.349792853266123	-0.7437277276213601	-0.7736287254171207	1.989687008377435	0.9311580062327974	2.0922242220449725
CYP17A1	-0.9608562536219651	-0.9746023131618764	-0.6031648666273584	0.45339188710861966	-0.919782455123789	-0.19143442206237987	0.6888578904620225	-0.11308802173704686	-0.8640518815558916	0.6339631535428126	-0.8049966401620416	-0.8537029473212745	1.7305668263455858	0.7545307277473982	2.024369316167185
